sector,component,total_degree,nu_x,nu_y,nu_z,lambda_x,lambda_y,lambda_z,value_over_kappa_sqrtpi
P,xx,2,0,0,0,0,0,2,8*sqrt(2)/15
P,xx,2,0,0,0,0,2,0,8*sqrt(2)/15
P,xx,2,0,0,0,2,0,0,-16*sqrt(2)/15
P,xx,2,0,0,1,0,0,1,-16/15
P,xx,2,0,1,0,0,1,0,-16/15
P,xx,2,1,0,0,1,0,0,32/15
P,xx,4,0,0,0,0,0,4,4*sqrt(6)/105
P,xx,4,0,0,0,0,2,2,8/105
P,xx,4,0,0,0,0,4,0,4*sqrt(6)/105
P,xx,4,0,0,0,2,0,2,-4/105
P,xx,4,0,0,0,2,2,0,-4/105
P,xx,4,0,0,0,4,0,0,-8*sqrt(6)/105
P,xx,4,0,0,1,0,0,3,-8*sqrt(6)/105
P,xx,4,0,0,1,0,2,1,-8*sqrt(2)/105
P,xx,4,0,0,1,2,0,1,4*sqrt(2)/105
P,xx,4,0,0,2,0,0,2,8/35
P,xx,4,0,0,2,0,2,0,8/105
P,xx,4,0,0,2,2,0,0,-4/105
P,xx,4,0,1,0,0,1,2,-8*sqrt(2)/105
P,xx,4,0,1,0,0,3,0,-8*sqrt(6)/105
P,xx,4,0,1,0,2,1,0,4*sqrt(2)/105
P,xx,4,0,1,1,0,1,1,16/105
P,xx,4,0,2,0,0,2,0,8/35
P,xx,4,0,2,0,2,0,0,-4/105
P,xx,4,1,0,0,1,0,2,4*sqrt(2)/105
P,xx,4,1,0,0,1,2,0,4*sqrt(2)/105
P,xx,4,1,0,0,3,0,0,16*sqrt(6)/105
P,xx,4,1,0,1,1,0,1,-8/105
P,xx,4,1,1,0,1,1,0,-8/105
P,xx,4,2,0,0,2,0,0,-16/35
P,xx,6,0,0,0,0,0,6,-sqrt(5)/315
P,xx,6,0,0,0,0,2,4,-sqrt(3)/315
P,xx,6,0,0,0,0,4,2,-sqrt(3)/315
P,xx,6,0,0,0,0,6,0,-sqrt(5)/315
P,xx,6,0,0,0,4,0,2,sqrt(3)/315
P,xx,6,0,0,0,4,2,0,sqrt(3)/315
P,xx,6,0,0,0,6,0,0,2*sqrt(5)/315
P,xx,6,0,0,1,0,0,5,sqrt(30)/315
P,xx,6,0,0,1,0,2,3,2*sqrt(3)/315
P,xx,6,0,0,1,0,4,1,sqrt(6)/315
P,xx,6,0,0,1,4,0,1,-sqrt(6)/315
